Day,Time,Share
Monday,08:00:00,11
Monday,08:30:00,59
Monday,09:00:00,71
Monday,09:30:00,71
Monday,10:00:00,150
Monday,10:30:00,149
Monday,11:00:00,143
Monday,11:30:00,133
Monday,12:00:00,138
Monday,12:30:00,137
Monday,13:00:00,142
Monday,13:30:00,142
Monday,14:00:00,153
Monday,14:30:00,148
Monday,15:00:00,149
Monday,15:30:00,148
Monday,16:00:00,125
Monday,16:30:00,125
Monday,17:00:00,125
Monday,17:30:00,88
Monday,18:00:00,85
Monday,18:30:00,84
Monday,19:00:00,67
Monday,19:30:00,45
Monday,20:00:00,23
Monday,20:30:00,23
Monday,21:00:00,18
Monday,21:30:00,13
Monday,22:00:00,2
Tuesday,08:00:00,10
Tuesday,08:30:00,49
Tuesday,09:00:00,61
Tuesday,09:30:00,61
Tuesday,10:00:00,174
Tuesday,10:30:00,174
Tuesday,11:00:00,166
Tuesday,11:30:00,136
Tuesday,12:00:00,130
Tuesday,12:30:00,129
Tuesday,13:00:00,146
Tuesday,13:30:00,146
Tuesday,14:00:00,158
Tuesday,14:30:00,159
Tuesday,15:00:00,157
Tuesday,15:30:00,156
Tuesday,16:00:00,133
Tuesday,16:30:00,133
Tuesday,17:00:00,132
Tuesday,17:30:00,86
Tuesday,18:00:00,77
Tuesday,18:30:00,79
Tuesday,19:00:00,60
Tuesday,19:30:00,45
Tuesday,20:00:00,21
Tuesday,20:30:00,18
Tuesday,21:00:00,14
Tuesday,21:30:00,6
Tuesday,22:00:00,1
Wednesday,08:00:00,10
Wednesday,08:30:00,60
Wednesday,09:00:00,72
Wednesday,09:30:00,72
Wednesday,10:00:00,155
Wednesday,10:30:00,157
Wednesday,11:00:00,151
Wednesday,11:30:00,144
Wednesday,12:00:00,143
Wednesday,12:30:00,142
Wednesday,13:00:00,141
Wednesday,13:30:00,143
Wednesday,14:00:00,158
Wednesday,14:30:00,157
Wednesday,15:00:00,161
Wednesday,15:30:00,160
Wednesday,16:00:00,123
Wednesday,16:30:00,121
Wednesday,17:00:00,117
Wednesday,17:30:00,85
Wednesday,18:00:00,77
Wednesday,18:30:00,75
Wednesday,19:00:00,64
Wednesday,19:30:00,40
Wednesday,20:00:00,20
Wednesday,20:30:00,19
Wednesday,21:00:00,14
Wednesday,21:30:00,6
Wednesday,22:00:00,1
Thursday,08:00:00,9
Thursday,08:30:00,49
Thursday,09:00:00,61
Thursday,09:30:00,61
Thursday,10:00:00,174
Thursday,10:30:00,174
Thursday,11:00:00,167
Thursday,11:30:00,135
Thursday,12:00:00,137
Thursday,12:30:00,133
Thursday,13:00:00,145
Thursday,13:30:00,144
Thursday,14:00:00,146
Thursday,14:30:00,151
Thursday,15:00:00,154
Thursday,15:30:00,148
Thursday,16:00:00,133
Thursday,16:30:00,133
Thursday,17:00:00,129
Thursday,17:30:00,87
Thursday,18:00:00,78
Thursday,18:30:00,79
Thursday,19:00:00,55
Thursday,19:30:00,39
Thursday,20:00:00,19
Thursday,20:30:00,16
Thursday,21:00:00,11
Thursday,21:30:00,3
Friday,08:00:00,3
Friday,08:30:00,7
Friday,09:00:00,17
Friday,09:30:00,20
Friday,10:00:00,55
Friday,10:30:00,56
Friday,11:00:00,52
Friday,11:30:00,52
Friday,12:00:00,50
Friday,12:30:00,52
Friday,13:00:00,44
Friday,13:30:00,45
Friday,14:00:00,53
Friday,14:30:00,49
Friday,15:00:00,49
Friday,15:30:00,47
Friday,16:00:00,17
Friday,16:30:00,15
Friday,17:00:00,14
Friday,17:30:00,11
Friday,18:00:00,11
Friday,18:30:00,10
Friday,19:00:00,7
Friday,19:30:00,7
Friday,20:00:00,3
Friday,20:30:00,2
Friday,21:00:00,2
Friday,21:30:00,1
