course_identifier,dept_code,school_code,course_name,term,section,call_number,instructor,start_time,end_time,days
AFASW4033,AFAM,SAS,HARLEM AND HAITI,20253,001,11354,Edwidge Danticat,14:10,16:00,R 2:10PM-4:00PM
AFASW3943,AFAM,SAS,Senior Pro Seminar,20253,001,13522,Farah Griffin,12:10,14:00,W 12:10PM-2:00PM
AFASC3930,AFAM,SAS,TOPICS IN THE BLACK EXPERIENCE,20253,002,19851,Nyle Fort,12:10,14:00,M 12:10PM-2:00PM
AFASC3901,AFAM,SAS,INDEPENDENT STDY-UNDERGRADUATE,20253,001,11366,Farah Griffin,,,
AFASC3901,AFAM,SAS,INDEPENDENT STDY-UNDERGRADUATE,20253,002,11367,Brandi Summers,,,
AFASC3901,AFAM,SAS,INDEPENDENT STDY-UNDERGRADUATE,20253,003,19931,Frank Guridy,,,
AFASW3007,AFAM,SAS,Listening to Hip Hop,20253,001,20055,Ellie Hisama,14:10,16:00,M 2:10PM-4:00PM
AFASW3002,AFAM,SAS,Image Matters: Writing With Photographs from the African Diaspora,20253,001,13373,Edwidge Danticat,14:10,16:00,T 2:10PM-4:00PM
AFASC1010,AFAM,SAS,INTRO-AFR-AMER STUDIES - DISC,20253,001,20195,Nyle Fort,10:00,10:50,T 10:00AM-10:50AM
AFASC1010,AFAM,SAS,INTRO-AFR-AMER STUDIES - DISC,20253,002,20196,Jennifer M Harley,13:10,14:00,W 1:10PM-2:00PM
AFASC1010,AFAM,SAS,INTRO-AFR-AMER STUDIES - DISC,20253,003,20197,Abdul-Qadir Islam,14:00,14:50,R 2:00PM-2:50PM
AFASC1010,AFAM,SAS,INTRO-AFR-AMER STUDIES - DISC,20253,004,20198,Dane Peters,10:10,10:50,F 10:10AM-10:50AM
AFASW1002,AFAM,SAS,Major Debates in African-American Studies,20253,001,11353,Jafari S Allen,12:10,14:00,W 12:10PM-2:00PM
AFASG6999,AFAM,SAS,THESIS RESEARCH-GRADUATE,20253,001,11348,Brandi Summers,,,
AFASG6100,AFAM,SAS,AF-AM: PRO SEMINAR,20253,001,11344,Brandi Summers,14:10,16:00,W 2:10PM-4:00PM
AFASG5555,AFAM,SAS,Fieldwork/Internship Course in African American and African Diaspora Studies,20253,001,11370,,,,
AFASW4998,AFAM,SAS,INDEPENDENT STUDY-GRADUATE,20253,001,11368,Farah Griffin,,,
AFASW4998,AFAM,SAS,INDEPENDENT STUDY-GRADUATE,20253,002,11369,Brandi Summers,,,
AFASW4998,AFAM,SAS,INDEPENDENT STUDY-GRADUATE,20253,003,19930,Frank Guridy,,,
AFASG4990,AFAM,SAS,AFR-AMER RESEARCH-WRITING,20253,001,11346,Rachel Grace Newman,14:10,16:00,R 2:10PM-4:00PM
AFASG4080,AFAM,SAS,TOPICS IN THE BLACK EXPERIENCE,20253,001,11903,Rachel Grace Newman,12:10,14:00,T 12:10PM-2:00PM
AFASG4080,AFAM,SAS,TOPICS IN THE BLACK EXPERIENCE,20253,002,11356,Jafari S Allen,12:10,14:00,T 12:10PM-2:00PM
AFASG4080,AFAM,SAS,TOPICS IN THE BLACK EXPERIENCE,20253,004,18168,Guthrie Ramsey,12:10,14:00,W 12:10PM-2:00PM
