course_identifier,dept_code,school_code,course_name,term,section,call_number,instructor,start_time,end_time,days
AFASG4990,AFAM,SAS,AFR-AMER RESEARCH-WRITING,20263,001,12141,Rachel Grace Newman,12:10,14:00,R 12:10PM-2:00PM
AFASG4100,AFAM,SAS,AF-AM: PRO SEMINAR,20263,001,13210,Farah Griffin,14:10,16:00,T 2:10PM-4:00PM
AFASG4014,AFAM,SAS,Assurance of Infinity: In the Caribbean,20263,001,14264,Rachel Grace Newman,14:10,16:00,R 2:10PM-4:00PM
AFASG4010,AFAM,SAS,Reading the works of Jamaica Kincaid,20263,001,12308,Edwidge Danticat,16:10,18:00,M 4:10PM-6:00PM
AFASW4003,AFAM,SAS,Writing and Editing the Black Studies Journal,20263,001,14265,Jafari S Allen,16:10,18:00,T 4:10PM-6:00PM
AFASW3943,AFAM,SAS,Senior Pro Seminar,20263,001,13190,Farah Griffin,14:10,16:00,T 2:10PM-4:00PM
AFASC3901,AFAM,SAS,INDEPENDENT STDY-UNDERGRADUATE,20263,001,14269,Kellie Jones,,,
AFASC3901,AFAM,SAS,INDEPENDENT STDY-UNDERGRADUATE,20263,002,14270,Brandi Summers,,,
AFASC3901,AFAM,SAS,INDEPENDENT STDY-UNDERGRADUATE,20263,003,14271,Farah Griffin,,,
AFASC3901,AFAM,SAS,INDEPENDENT STDY-UNDERGRADUATE,20263,004,14272,Edwidge Danticat,,,
AFASC3901,AFAM,SAS,INDEPENDENT STDY-UNDERGRADUATE,20263,005,14273,Rachel Grace Newman,,,
AFASC3901,AFAM,SAS,INDEPENDENT STDY-UNDERGRADUATE,20263,006,14274,Jafari S Allen,,,
AFASC3901,AFAM,SAS,INDEPENDENT STDY-UNDERGRADUATE,20263,007,14275,Nyle Fort,,,
AFASC3011,AFAM,SAS,Spirit of Justice,20263,001,12486,Nyle Fort,12:10,14:00,M 12:10PM-2:00PM
AFASG6999,AFAM,SAS,THESIS RESEARCH-GRADUATE,20263,001,12132,Brandi Summers,,,
AFASG6200,AFAM,SAS,BLACK GEOGRAPHIES: A PLACE FOR BLACK STUDY,20263,001,12142,Brandi Summers,12:10,14:00,W 12:10PM-2:00PM
AFASG6100,AFAM,SAS,AF-AM: PRO SEMINAR,20263,001,12143,Brandi Summers,12:10,14:00,T 12:10PM-2:00PM
AFASW4998,AFAM,SAS,INDEPENDENT STUDY-GRADUATE,20263,001,12144,Brandi Summers,,,
AFASW4998,AFAM,SAS,INDEPENDENT STUDY-GRADUATE,20263,002,12145,Kellie Jones,,,
AFASW4998,AFAM,SAS,INDEPENDENT STUDY-GRADUATE,20263,003,12146,Farah Griffin,,,
AFASW4998,AFAM,SAS,INDEPENDENT STUDY-GRADUATE,20263,004,12147,Edwidge Danticat,,,
AFASW4998,AFAM,SAS,INDEPENDENT STUDY-GRADUATE,20263,005,12148,Rachel Grace Newman,,,
AFASW4998,AFAM,SAS,INDEPENDENT STUDY-GRADUATE,20263,006,12149,Jafari S Allen,,,
AFASW4998,AFAM,SAS,INDEPENDENT STUDY-GRADUATE,20263,007,12150,Nyle Fort,,,
AFASC1001,AFAM,SAS,INTRO TO AFRICAN-AMER STUDIES,20263,001,12140,Nyle Fort,10:10,11:25,MW 10:10AM-11:25AM
AFRSBC3550,AFSB,BCOL,QUEER HARLEM,20263,001,00463,Maleda Belilgne,16:10,18:00,R 4:10PM-6:00PM
AFRSBC3160,AFSB,BCOL,Fanon’s Psychology of the Oppressed,20263,001,00131,Colin Leach,18:10,20:00,W 6:10PM-8:00PM
