course_identifier,dept_code,school_code,course_name,term,section,call_number,instructor,start_time,end_time,days
AFASG4004,AFAM,SAS,Turn the TV Off: Black Performance Studies,20261,001,15974,Johanna F Almiron,12:10,14:00,R 12:10PM-2:00PM
AFASC3997,AFAM,SAS,INDEPENDENT STUDY-NON AFAM,20261,001,20451,Obery Hendricks,,,
AFASW3940,AFAM,SAS,SENIOR THESIS SEMINAR,20261,001,11372,Kellie Jones,14:10,16:00,T 2:10PM-4:00PM
AFASC3901,AFAM,SAS,INDEPENDENT STDY-UNDERGRADUATE,20261,001,10505,Frank Guridy,,,
AFASC3901,AFAM,SAS,INDEPENDENT STDY-UNDERGRADUATE,20261,002,10506,Brandi Summers,,,
AFASC3901,AFAM,SAS,INDEPENDENT STDY-UNDERGRADUATE,20261,003,10507,Jafari S Allen,,,
AFASC3901,AFAM,SAS,INDEPENDENT STDY-UNDERGRADUATE,20261,004,11748,Nyle Fort,,,
AFASC3901,AFAM,SAS,INDEPENDENT STDY-UNDERGRADUATE,20261,005,11750,Rachel Grace Newman,,,
AFASC3901,AFAM,SAS,INDEPENDENT STDY-UNDERGRADUATE,20261,006,11752,Farah Griffin,,,
AFASC3901,AFAM,SAS,INDEPENDENT STDY-UNDERGRADUATE,20261,007,20205,Edwidge Danticat,,,
AFASC3901,AFAM,SAS,INDEPENDENT STDY-UNDERGRADUATE,20261,008,20452,Obery Hendricks,,,
AFASC3901,AFAM,SAS,INDEPENDENT STDY-UNDERGRADUATE,20261,009,20454,Johanna F Almiron,,,
AFASC3901,AFAM,SAS,INDEPENDENT STDY-UNDERGRADUATE,20261,010,20455,Vivaldi Jean-Marie,,,
AFASC3901,AFAM,SAS,INDEPENDENT STDY-UNDERGRADUATE,20261,011,20456,Kellie Jones,,,
AFASC3011,AFAM,SAS,Spirit of Justice,20261,001,17123,Nyle Fort,10:10,12:00,M 10:10AM-12:00PM
AFASW3004,AFAM,SAS,Introduction to Black Geographies,20261,001,10496,Brandi Summers,14:10,16:00,W 2:10PM-4:00PM
AFASC3001,AFAM,SAS,SING A BLACK GIRL'S SONG:  THE NON FICTION WRITING OF NTOZAKE SHANGE,20261,001,10540,Edwidge Danticat,14:10,16:00,R 2:10PM-4:00PM
AFASW1003,AFAM,SAS,Blackness and Frenchness: A Radical Genealogy,20261,001,10536,Veronique Charles,12:10,14:00,M 12:10PM-2:00PM
AFASG6999,AFAM,SAS,THESIS RESEARCH-GRADUATE,20261,001,10504,Brandi Summers,,,
AFASW4998,AFAM,SAS,INDEPENDENT STUDY-GRADUATE,20261,001,10509,Brandi Summers,,,
AFASW4998,AFAM,SAS,INDEPENDENT STUDY-GRADUATE,20261,002,10510,Jafari S Allen,,,
AFASW4998,AFAM,SAS,INDEPENDENT STUDY-GRADUATE,20261,003,10511,Farah Griffin,,,
AFASW4998,AFAM,SAS,INDEPENDENT STUDY-GRADUATE,20261,004,11753,Frank Guridy,,,
AFASW4998,AFAM,SAS,INDEPENDENT STUDY-GRADUATE,20261,005,11758,Nyle Fort,,,
AFASW4998,AFAM,SAS,INDEPENDENT STUDY-GRADUATE,20261,006,11781,Rachel Grace Newman,,,
AFASW4998,AFAM,SAS,INDEPENDENT STUDY-GRADUATE,20261,007,20204,Edwidge Danticat,,,
AFASW4998,AFAM,SAS,INDEPENDENT STUDY-GRADUATE,20261,008,20453,Obery Hendricks,,,
AFASW4998,AFAM,SAS,INDEPENDENT STUDY-GRADUATE,20261,009,20457,Johanna F Almiron,,,
AFASW4998,AFAM,SAS,INDEPENDENT STUDY-GRADUATE,20261,010,20458,Vivaldi Jean-Marie,,,
