Day,Time,Share
Monday,08:00:00,10
Monday,08:30:00,59
Monday,09:00:00,66
Monday,09:30:00,67
Monday,10:00:00,155
Monday,10:30:00,155
Monday,11:00:00,154
Monday,11:30:00,116
Monday,12:00:00,119
Monday,12:30:00,118
Monday,13:00:00,124
Monday,13:30:00,122
Monday,14:00:00,140
Monday,14:30:00,147
Monday,15:00:00,146
Monday,15:30:00,145
Monday,16:00:00,130
Monday,16:30:00,130
Monday,17:00:00,128
Monday,17:30:00,94
Monday,18:00:00,83
Monday,18:30:00,81
Monday,19:00:00,60
Monday,19:30:00,46
Monday,20:00:00,24
Monday,20:30:00,25
Monday,21:00:00,17
Monday,21:30:00,7
Monday,22:00:00,3
Monday,22:30:00,1
Monday,23:00:00,1
Tuesday,08:00:00,12
Tuesday,08:30:00,54
Tuesday,09:00:00,67
Tuesday,09:30:00,67
Tuesday,10:00:00,148
Tuesday,10:30:00,147
Tuesday,11:00:00,140
Tuesday,11:30:00,120
Tuesday,12:00:00,127
Tuesday,12:30:00,126
Tuesday,13:00:00,135
Tuesday,13:30:00,133
Tuesday,14:00:00,160
Tuesday,14:30:00,171
Tuesday,15:00:00,165
Tuesday,15:30:00,164
Tuesday,16:00:00,132
Tuesday,16:30:00,132
Tuesday,17:00:00,128
Tuesday,17:30:00,84
Tuesday,18:00:00,81
Tuesday,18:30:00,81
Tuesday,19:00:00,62
Tuesday,19:30:00,49
Tuesday,20:00:00,22
Tuesday,20:30:00,23
Tuesday,21:00:00,15
Tuesday,21:30:00,4
Tuesday,22:00:00,1
Wednesday,08:00:00,10
Wednesday,08:30:00,57
Wednesday,09:00:00,66
Wednesday,09:30:00,67
Wednesday,10:00:00,161
Wednesday,10:30:00,161
Wednesday,11:00:00,160
Wednesday,11:30:00,119
Wednesday,12:00:00,118
Wednesday,12:30:00,117
Wednesday,13:00:00,126
Wednesday,13:30:00,124
Wednesday,14:00:00,139
Wednesday,14:30:00,149
Wednesday,15:00:00,150
Wednesday,15:30:00,150
Wednesday,16:00:00,132
Wednesday,16:30:00,131
Wednesday,17:00:00,127
Wednesday,17:30:00,92
Wednesday,18:00:00,86
Wednesday,18:30:00,84
Wednesday,19:00:00,65
Wednesday,19:30:00,50
Wednesday,20:00:00,26
Wednesday,20:30:00,25
Wednesday,21:00:00,14
Wednesday,21:30:00,4
Wednesday,22:00:00,2
Thursday,08:00:00,8
Thursday,08:30:00,54
Thursday,09:00:00,64
Thursday,09:30:00,64
Thursday,10:00:00,162
Thursday,10:30:00,163
Thursday,11:00:00,158
Thursday,11:30:00,133
Thursday,12:00:00,121
Thursday,12:30:00,118
Thursday,13:00:00,123
Thursday,13:30:00,120
Thursday,14:00:00,143
Thursday,14:30:00,153
Thursday,15:00:00,147
Thursday,15:30:00,146
Thursday,16:00:00,126
Thursday,16:30:00,127
Thursday,17:00:00,125
Thursday,17:30:00,73
Thursday,18:00:00,75
Thursday,18:30:00,76
Thursday,19:00:00,60
Thursday,19:30:00,46
Thursday,20:00:00,25
Thursday,20:30:00,23
Thursday,21:00:00,12
Thursday,21:30:00,3
Friday,08:00:00,2
Friday,08:30:00,2
Friday,09:00:00,9
Friday,09:30:00,12
Friday,10:00:00,56
Friday,10:30:00,56
Friday,11:00:00,60
Friday,11:30:00,56
Friday,12:00:00,53
Friday,12:30:00,51
Friday,13:00:00,44
Friday,13:30:00,45
Friday,14:00:00,43
Friday,14:30:00,43
Friday,15:00:00,42
Friday,15:30:00,42
Friday,16:00:00,20
Friday,16:30:00,18
Friday,17:00:00,12
Friday,17:30:00,8
Friday,18:00:00,8
Friday,18:30:00,8
Friday,19:00:00,1
Friday,19:30:00,1
