Day,Time,Share
Monday,08:00:00,11
Monday,08:30:00,56
Monday,09:00:00,67
Monday,09:30:00,68
Monday,10:00:00,136
Monday,10:30:00,136
Monday,11:00:00,130
Monday,11:30:00,119
Monday,12:00:00,127
Monday,12:30:00,127
Monday,13:00:00,137
Monday,13:30:00,137
Monday,14:00:00,146
Monday,14:30:00,158
Monday,15:00:00,160
Monday,15:30:00,159
Monday,16:00:00,133
Monday,16:30:00,133
Monday,17:00:00,130
Monday,17:30:00,97
Monday,18:00:00,89
Monday,18:30:00,87
Monday,19:00:00,64
Monday,19:30:00,44
Monday,20:00:00,20
Monday,20:30:00,21
Monday,21:00:00,13
Monday,21:30:00,10
Monday,22:00:00,4
Tuesday,08:00:00,10
Tuesday,08:30:00,45
Tuesday,09:00:00,60
Tuesday,09:30:00,60
Tuesday,10:00:00,156
Tuesday,10:30:00,157
Tuesday,11:00:00,149
Tuesday,11:30:00,123
Tuesday,12:00:00,116
Tuesday,12:30:00,114
Tuesday,13:00:00,141
Tuesday,13:30:00,141
Tuesday,14:00:00,153
Tuesday,14:30:00,150
Tuesday,15:00:00,149
Tuesday,15:30:00,148
Tuesday,16:00:00,144
Tuesday,16:30:00,144
Tuesday,17:00:00,135
Tuesday,17:30:00,98
Tuesday,18:00:00,85
Tuesday,18:30:00,86
Tuesday,19:00:00,65
Tuesday,19:30:00,48
Tuesday,20:00:00,23
Tuesday,20:30:00,21
Tuesday,21:00:00,16
Tuesday,21:30:00,8
Tuesday,22:00:00,2
Wednesday,08:00:00,12
Wednesday,08:30:00,60
Wednesday,09:00:00,72
Wednesday,09:30:00,72
Wednesday,10:00:00,149
Wednesday,10:30:00,151
Wednesday,11:00:00,148
Wednesday,11:30:00,140
Wednesday,12:00:00,139
Wednesday,12:30:00,137
Wednesday,13:00:00,145
Wednesday,13:30:00,147
Wednesday,14:00:00,168
Wednesday,14:30:00,176
Wednesday,15:00:00,178
Wednesday,15:30:00,177
Wednesday,16:00:00,145
Wednesday,16:30:00,143
Wednesday,17:00:00,127
Wednesday,17:30:00,94
Wednesday,18:00:00,84
Wednesday,18:30:00,81
Wednesday,19:00:00,61
Wednesday,19:30:00,37
Wednesday,20:00:00,17
Wednesday,20:30:00,18
Wednesday,21:00:00,11
Wednesday,21:30:00,5
Wednesday,22:00:00,2
Thursday,08:00:00,10
Thursday,08:30:00,44
Thursday,09:00:00,60
Thursday,09:30:00,60
Thursday,10:00:00,161
Thursday,10:30:00,161
Thursday,11:00:00,153
Thursday,11:30:00,127
Thursday,12:00:00,126
Thursday,12:30:00,123
Thursday,13:00:00,143
Thursday,13:30:00,142
Thursday,14:00:00,147
Thursday,14:30:00,147
Thursday,15:00:00,150
Thursday,15:30:00,143
Thursday,16:00:00,145
Thursday,16:30:00,145
Thursday,17:00:00,129
Thursday,17:30:00,92
Thursday,18:00:00,79
Thursday,18:30:00,80
Thursday,19:00:00,58
Thursday,19:30:00,42
Thursday,20:00:00,16
Thursday,20:30:00,15
Thursday,21:00:00,10
Thursday,21:30:00,1
Thursday,22:00:00,1
Friday,08:00:00,3
Friday,08:30:00,6
Friday,09:00:00,16
Friday,09:30:00,18
Friday,10:00:00,60
Friday,10:30:00,61
Friday,11:00:00,58
Friday,11:30:00,57
Friday,12:00:00,48
Friday,12:30:00,50
Friday,13:00:00,49
Friday,13:30:00,50
Friday,14:00:00,60
Friday,14:30:00,54
Friday,15:00:00,55
Friday,15:30:00,52
Friday,16:00:00,18
Friday,16:30:00,17
Friday,17:00:00,14
Friday,17:30:00,12
Friday,18:00:00,10
Friday,18:30:00,9
Friday,19:00:00,6
Friday,19:30:00,6
Friday,20:00:00,2
Friday,20:30:00,2
Friday,21:00:00,2
Friday,21:30:00,1
