Day,Time,Share
Monday,08:00:00,11
Monday,08:30:00,49
Monday,09:00:00,57
Monday,09:30:00,57
Monday,10:00:00,114
Monday,10:30:00,115
Monday,11:00:00,113
Monday,11:30:00,86
Monday,12:00:00,96
Monday,12:30:00,96
Monday,13:00:00,99
Monday,13:30:00,99
Monday,14:00:00,112
Monday,14:30:00,125
Monday,15:00:00,123
Monday,15:30:00,122
Monday,16:00:00,114
Monday,16:30:00,114
Monday,17:00:00,114
Monday,17:30:00,80
Monday,18:00:00,64
Monday,18:30:00,64
Monday,19:00:00,45
Monday,19:30:00,33
Monday,20:00:00,9
Monday,20:30:00,9
Monday,21:00:00,6
Tuesday,08:00:00,11
Tuesday,08:30:00,50
Tuesday,09:00:00,58
Tuesday,09:30:00,58
Tuesday,10:00:00,131
Tuesday,10:30:00,131
Tuesday,11:00:00,124
Tuesday,11:30:00,100
Tuesday,12:00:00,85
Tuesday,12:30:00,85
Tuesday,13:00:00,107
Tuesday,13:30:00,107
Tuesday,14:00:00,135
Tuesday,14:30:00,140
Tuesday,15:00:00,138
Tuesday,15:30:00,135
Tuesday,16:00:00,123
Tuesday,16:30:00,122
Tuesday,17:00:00,117
Tuesday,17:30:00,83
Tuesday,18:00:00,62
Tuesday,18:30:00,62
Tuesday,19:00:00,45
Tuesday,19:30:00,33
Tuesday,20:00:00,11
Tuesday,20:30:00,10
Tuesday,21:00:00,6
Tuesday,21:30:00,1
Wednesday,08:00:00,10
Wednesday,08:30:00,45
Wednesday,09:00:00,56
Wednesday,09:30:00,56
Wednesday,10:00:00,125
Wednesday,10:30:00,126
Wednesday,11:00:00,123
Wednesday,11:30:00,97
Wednesday,12:00:00,99
Wednesday,12:30:00,100
Wednesday,13:00:00,104
Wednesday,13:30:00,104
Wednesday,14:00:00,116
Wednesday,14:30:00,133
Wednesday,15:00:00,131
Wednesday,15:30:00,130
Wednesday,16:00:00,113
Wednesday,16:30:00,112
Wednesday,17:00:00,110
Wednesday,17:30:00,73
Wednesday,18:00:00,56
Wednesday,18:30:00,57
Wednesday,19:00:00,45
Wednesday,19:30:00,33
Wednesday,20:00:00,16
Wednesday,20:30:00,15
Wednesday,21:00:00,9
Wednesday,21:30:00,1
Thursday,08:00:00,9
Thursday,08:30:00,49
Thursday,09:00:00,56
Thursday,09:30:00,56
Thursday,10:00:00,131
Thursday,10:30:00,132
Thursday,11:00:00,127
Thursday,11:30:00,101
Thursday,12:00:00,89
Thursday,12:30:00,89
Thursday,13:00:00,110
Thursday,13:30:00,110
Thursday,14:00:00,128
Thursday,14:30:00,130
Thursday,15:00:00,129
Thursday,15:30:00,126
Thursday,16:00:00,107
Thursday,16:30:00,105
Thursday,17:00:00,102
Thursday,17:30:00,65
Thursday,18:00:00,58
Thursday,18:30:00,57
Thursday,19:00:00,41
Thursday,19:30:00,27
Thursday,20:00:00,9
Thursday,20:30:00,8
Thursday,21:00:00,5
Friday,08:00:00,3
Friday,08:30:00,6
Friday,09:00:00,10
Friday,09:30:00,12
Friday,10:00:00,37
Friday,10:30:00,37
Friday,11:00:00,37
Friday,11:30:00,36
Friday,12:00:00,36
Friday,12:30:00,38
Friday,13:00:00,36
Friday,13:30:00,37
Friday,14:00:00,39
Friday,14:30:00,36
Friday,15:00:00,34
Friday,15:30:00,33
Friday,16:00:00,14
Friday,16:30:00,13
Friday,17:00:00,12
Friday,17:30:00,10
Friday,18:00:00,7
Friday,18:30:00,7
Friday,19:00:00,3
Friday,19:30:00,4
Friday,20:00:00,2
Friday,20:30:00,2
Friday,21:00:00,2
