Day,Time,Share
Monday,08:00:00,11
Monday,08:30:00,49
Monday,09:00:00,57
Monday,09:30:00,57
Monday,10:00:00,115
Monday,10:30:00,116
Monday,11:00:00,114
Monday,11:30:00,86
Monday,12:00:00,97
Monday,12:30:00,97
Monday,13:00:00,112
Monday,13:30:00,112
Monday,14:00:00,126
Monday,14:30:00,150
Monday,15:00:00,150
Monday,15:30:00,149
Monday,16:00:00,134
Monday,16:30:00,134
Monday,17:00:00,127
Monday,17:30:00,90
Monday,18:00:00,73
Monday,18:30:00,73
Monday,19:00:00,49
Monday,19:30:00,38
Monday,20:00:00,16
Tuesday,08:00:00,11
Tuesday,08:30:00,50
Tuesday,09:00:00,59
Tuesday,09:30:00,61
Tuesday,10:00:00,136
Tuesday,10:30:00,137
Tuesday,11:00:00,130
Tuesday,11:30:00,106
Tuesday,12:00:00,92
Tuesday,12:30:00,89
Tuesday,13:00:00,120
Tuesday,13:30:00,120
Tuesday,14:00:00,148
Tuesday,14:30:00,153
Tuesday,15:00:00,155
Tuesday,15:30:00,152
Tuesday,16:00:00,147
Tuesday,16:30:00,147
Tuesday,17:00:00,137
Tuesday,17:30:00,105
Tuesday,18:00:00,85
Tuesday,18:30:00,83
Tuesday,19:00:00,56
Tuesday,19:30:00,41
Tuesday,20:00:00,19
Wednesday,08:00:00,12
Wednesday,08:30:00,47
Wednesday,09:00:00,58
Wednesday,09:30:00,60
Wednesday,10:00:00,135
Wednesday,10:30:00,136
Wednesday,11:00:00,132
Wednesday,11:30:00,106
Wednesday,12:00:00,108
Wednesday,12:30:00,107
Wednesday,13:00:00,123
Wednesday,13:30:00,123
Wednesday,14:00:00,136
Wednesday,14:30:00,153
Wednesday,15:00:00,152
Wednesday,15:30:00,151
Wednesday,16:00:00,142
Wednesday,16:30:00,141
Wednesday,17:00:00,130
Wednesday,17:30:00,91
Wednesday,18:00:00,74
Wednesday,18:30:00,74
Wednesday,19:00:00,52
Wednesday,19:30:00,37
Wednesday,20:00:00,22
Thursday,08:00:00,9
Thursday,08:30:00,49
Thursday,09:00:00,57
Thursday,09:30:00,57
Thursday,10:00:00,135
Thursday,10:30:00,136
Thursday,11:00:00,130
Thursday,11:30:00,106
Thursday,12:00:00,95
Thursday,12:30:00,95
Thursday,13:00:00,126
Thursday,13:30:00,126
Thursday,14:00:00,145
Thursday,14:30:00,147
Thursday,15:00:00,151
Thursday,15:30:00,147
Thursday,16:00:00,127
Thursday,16:30:00,126
Thursday,17:00:00,117
Thursday,17:30:00,79
Thursday,18:00:00,68
Thursday,18:30:00,66
Thursday,19:00:00,49
Thursday,19:30:00,32
Thursday,20:00:00,9
Friday,08:00:00,3
Friday,08:30:00,6
Friday,09:00:00,11
Friday,09:30:00,13
Friday,10:00:00,45
Friday,10:30:00,45
Friday,11:00:00,48
Friday,11:30:00,47
Friday,12:00:00,41
Friday,12:30:00,43
Friday,13:00:00,43
Friday,13:30:00,44
Friday,14:00:00,46
Friday,14:30:00,43
Friday,15:00:00,39
Friday,15:30:00,38
Friday,16:00:00,17
Friday,16:30:00,16
Friday,17:00:00,13
Friday,17:30:00,11
Friday,18:00:00,7
Friday,18:30:00,7
Friday,19:00:00,3
Friday,19:30:00,4
Friday,20:00:00,2
