Day,Time,Share
Monday,08:00:00,10
Monday,08:30:00,54
Monday,09:00:00,60
Monday,09:30:00,61
Monday,10:00:00,142
Monday,10:30:00,142
Monday,11:00:00,141
Monday,11:30:00,101
Monday,12:00:00,105
Monday,12:30:00,104
Monday,13:00:00,109
Monday,13:30:00,107
Monday,14:00:00,124
Monday,14:30:00,133
Monday,15:00:00,132
Monday,15:30:00,130
Monday,16:00:00,117
Monday,16:30:00,117
Monday,17:00:00,116
Monday,17:30:00,89
Monday,18:00:00,75
Monday,18:30:00,73
Monday,19:00:00,52
Monday,19:30:00,41
Monday,20:00:00,19
Monday,20:30:00,20
Monday,21:00:00,14
Monday,21:30:00,6
Monday,22:00:00,3
Monday,22:30:00,1
Monday,23:00:00,1
Tuesday,08:00:00,12
Tuesday,08:30:00,48
Tuesday,09:00:00,61
Tuesday,09:30:00,61
Tuesday,10:00:00,135
Tuesday,10:30:00,134
Tuesday,11:00:00,127
Tuesday,11:30:00,102
Tuesday,12:00:00,109
Tuesday,12:30:00,108
Tuesday,13:00:00,121
Tuesday,13:30:00,119
Tuesday,14:00:00,147
Tuesday,14:30:00,149
Tuesday,15:00:00,142
Tuesday,15:30:00,141
Tuesday,16:00:00,109
Tuesday,16:30:00,109
Tuesday,17:00:00,106
Tuesday,17:30:00,74
Tuesday,18:00:00,70
Tuesday,18:30:00,70
Tuesday,19:00:00,57
Tuesday,19:30:00,46
Tuesday,20:00:00,19
Tuesday,20:30:00,20
Tuesday,21:00:00,12
Tuesday,21:30:00,3
Tuesday,22:00:00,1
Wednesday,08:00:00,10
Wednesday,08:30:00,52
Wednesday,09:00:00,59
Wednesday,09:30:00,60
Wednesday,10:00:00,145
Wednesday,10:30:00,146
Wednesday,11:00:00,144
Wednesday,11:30:00,103
Wednesday,12:00:00,104
Wednesday,12:30:00,103
Wednesday,13:00:00,112
Wednesday,13:30:00,110
Wednesday,14:00:00,124
Wednesday,14:30:00,136
Wednesday,15:00:00,136
Wednesday,15:30:00,135
Wednesday,16:00:00,117
Wednesday,16:30:00,116
Wednesday,17:00:00,114
Wednesday,17:30:00,86
Wednesday,18:00:00,77
Wednesday,18:30:00,75
Wednesday,19:00:00,59
Wednesday,19:30:00,46
Wednesday,20:00:00,22
Wednesday,20:30:00,22
Wednesday,21:00:00,12
Wednesday,21:30:00,4
Wednesday,22:00:00,2
Thursday,08:00:00,8
Thursday,08:30:00,48
Thursday,09:00:00,58
Thursday,09:30:00,58
Thursday,10:00:00,147
Thursday,10:30:00,148
Thursday,11:00:00,143
Thursday,11:30:00,115
Thursday,12:00:00,102
Thursday,12:30:00,99
Thursday,13:00:00,110
Thursday,13:30:00,107
Thursday,14:00:00,131
Thursday,14:30:00,130
Thursday,15:00:00,124
Thursday,15:30:00,123
Thursday,16:00:00,107
Thursday,16:30:00,107
Thursday,17:00:00,106
Thursday,17:30:00,68
Thursday,18:00:00,69
Thursday,18:30:00,70
Thursday,19:00:00,51
Thursday,19:30:00,39
Thursday,20:00:00,18
Thursday,20:30:00,17
Thursday,21:00:00,7
Friday,08:00:00,2
Friday,08:30:00,2
Friday,09:00:00,6
Friday,09:30:00,9
Friday,10:00:00,49
Friday,10:30:00,49
Friday,11:00:00,52
Friday,11:30:00,49
Friday,12:00:00,47
Friday,12:30:00,45
Friday,13:00:00,36
Friday,13:30:00,36
Friday,14:00:00,34
Friday,14:30:00,34
Friday,15:00:00,34
Friday,15:30:00,32
Friday,16:00:00,14
Friday,16:30:00,13
Friday,17:00:00,9
Friday,17:30:00,6
Friday,18:00:00,6
Friday,18:30:00,6
